C,-0.3081,-0.256,0.2897,1,-0.3781,-0.3506,1,1,0,1
S,-0.2941,-0.3215,-1.078,1,0.4068,-0.3506,1,1,0,1
S,-0.3036,-0.0304,-0.4088,1,0.0517,-0.3506,1,0,0,1
S,-0.3074,-0.21,2.2734,1,0.0517,-0.3506,1,0,0,0
S,-0.3093,0.3399,-0.0567,1,0.0517,-0.3506,1,0,0,1
S,-0.3093,-0.5666,-1.024,1,0.0517,-0.3506,1,0,0,1
C,-0.2778,-0.3115,-0.4263,0,-0.266,0.6172,1,1,0,0
S,3.1432,-0.5143,-0.0373,0,0.0517,3.037,1,0,1,1
S,-0.2573,-0.5064,-0.3946,0,-0.3594,-0.1087,1,0,0,1
S,-0.3097,0.1016,0.1443,1,-0.3407,-0.3506,1,0,0,0
S,-0.3097,0.3377,-0.1627,1,-0.3594,-0.3506,1,0,0,1
S,-0.2954,-0.4367,-0.0388,0,-0.3407,-0.1087,1,0,0,1
S,-0.3071,-0.4927,-1.0369,1,-0.3781,-0.3506,1,0,0,1
S,-0.2755,-0.1282,0.4134,0,-0.3781,-0.3506,1,0,1,1
S,-0.299,-0.4515,-0.7095,0,-0.3781,-0.3506,1,0,0,1
S,1.969,-0.4874,0.3072,0,-0.2286,1.3432,1,0,0,1
S,0.0667,-0.5508,-0.0557,0,-0.322,-0.1087,1,0,0,0
S,-0.3071,-0.4927,-1.0369,0,-0.3781,-0.3506,1,0,0,1
S,-0.2954,-0.4367,-0.0388,1,-0.3781,-0.3506,1,0,0,1
S,-0.3022,0.5179,1.8134,2,0.1265,-0.3506,1,0,0,1
S,-0.2939,2.3076,0.3273,2,0.1265,-0.3506,1,0,0,1
S,-0.3088,-0.5476,-0.7222,1,-0.322,-0.3506,1,0,0,0
S,-0.299,-0.4515,-0.7095,0,-0.3594,-0.3506,1,0,0,1
S,-0.2755,-0.1282,0.4134,0,-0.3594,-0.3506,1,0,1,1
S,-0.3096,-0.0891,-0.6969,2,0.1265,-0.3506,1,0,0,0
S,6.3585,-0.3194,1.2854,2,0.1265,-0.3506,1,0,1,1
S,1.9406,-0.2697,3.0049,0,-0.2846,-0.1087,1,0,1,1
S,-0.3094,0.0668,-0.6739,1,-0.266,-0.3506,1,0,0,1
S,-0.3105,-0.4631,-0.6197,1,-0.266,-0.3506,1,0,0,0
S,1.9406,-0.2697,3.0049,0,-0.3033,0.3753,1,0,1,1
S,-0.3025,-0.2523,-0.7679,1,-0.322,0.1333,1,1,0,1
C,-0.3097,0.4804,-0.066,1,-0.1165,-0.3506,1,1,0,1
C,-0.3036,0.324,-0.4281,1,-0.1165,-0.3506,1,1,0,1
C,-0.2968,2.1095,0.7394,1,-0.1165,-0.3506,1,1,0,1
C,-0.293,5.5875,-0.7295,1,-0.1165,-0.3506,1,1,0,1
C,-0.3022,0.5179,1.8134,1,-0.1165,-0.3506,1,1,0,1
S,-0.3098,0.0816,-0.6818,1,-0.322,-0.3506,2,0,0,0
S,-0.3101,-0.3669,-0.9986,0,-0.322,-0.3506,2,0,0,1
C,0.7052,-0.5513,0.829,0,-0.1165,0.8592,1,1,1,0
C,-0.3084,0.5485,-0.4439,0,-0.3594,-0.1087,1,1,0,1
S,-0.3077,-0.4573,-0.9664,0,-0.3594,-0.3506,1,1,0,1
C,-0.31,0.2601,-0.7375,1,-0.2099,-0.3506,1,1,0,1
C,-0.3097,-0.4668,0.7033,1,-0.2099,-0.3506,1,1,0,1
C,-0.2606,-0.3727,-0.8039,0,-0.2099,0.1333,1,1,1,1
C,-0.3067,-0.2745,-0.2893,1,-0.3033,-0.3506,1,1,0,1
C,-0.2606,-0.3727,-0.8039,0,-0.3033,-0.3506,1,1,1,1
C,0.0667,-0.5508,-0.0557,0,-0.3407,0.1333,1,1,0,0
C,1.969,-0.4874,0.3072,0,-0.266,1.3432,1,1,0,1
C,-0.3019,-0.5249,-1.0625,0,-0.3594,-0.3506,1,1,0,1
S,-0.3105,0.4894,-0.8452,1,3.8453,-0.3506,1,0,0,1
C,-0.3081,-0.256,0.2897,0,-0.3781,-0.3506,1,1,0,1
C,-0.3081,-0.256,0.2897,0,-0.3781,-0.3506,1,1,0,1
C,-0.2985,-0.2988,-0.8283,1,-0.3781,-0.3506,1,1,0,1
C,-0.3086,0.4349,-0.8808,0,-0.3781,-0.3506,2,1,0,1
C,-0.2155,-0.5539,0.0958,0,-0.2846,0.3753,1,1,0,1
C,-0.2941,-0.3215,-1.078,2,7.1716,-0.3506,1,1,0,1
N,-0.3097,0.4159,-0.9634,0,-0.322,0.3753,1,0,0,1
C,-0.3106,-0.5032,-1.0354,1,-0.3407,-0.3506,2,1,0,1
C,0.0667,-0.5508,-0.0557,0,-0.3407,-0.3506,2,1,0,0
C,1.969,-0.4874,0.3072,0,-0.3033,0.8592,2,1,0,1
C,-0.3019,-0.5249,-1.0625,0,-0.3781,-0.1087,2,1,0,1
C,-0.3104,-0.2164,0.7799,1,0.4068,-0.3506,1,1,0,0
C,-0.3019,-0.5249,-1.0625,0,-0.3781,-0.3506,2,1,0,1
C,0.0667,-0.5508,-0.0557,0,-0.3594,-0.3506,2,1,0,0
C,1.969,-0.4874,0.3072,0,-0.3781,0.1333,2,1,0,1
S,-0.3103,-0.2032,-0.724,1,-0.3033,-0.3506,1,1,0,0
S,-0.31,-0.2222,-0.5424,1,-0.1351,-0.3506,1,0,0,0
C,-0.3097,-0.4139,-1.0856,2,-0.3781,-0.3506,1,0,0,1
S,-0.3008,1.2199,-0.3701,1,1.1917,-0.3506,1,0,0,1
S,-0.3026,-0.0653,0.4353,1,1.1917,-0.3506,1,0,0,0
C,-0.3086,-0.1968,0.695,1,-0.322,-0.3506,1,1,0,1
N,-0.3068,0.1946,0.7015,3,-0.3594,-0.1087,1,0,0,1
C,-0.3074,0.7846,-0.1944,1,-0.3033,-0.3506,1,1,0,1
C,-0.3096,-0.2079,0.1522,1,-0.3033,-0.3506,1,1,0,0
C,-0.3081,-0.256,0.2897,0,-0.3033,-0.1087,1,1,0,1
S,-0.3101,0.305,-0.3102,1,-0.1351,-0.3506,1,0,0,0
C,-0.3089,-0.1218,-0.299,1,-0.3781,-0.3506,1,1,0,1
S,-0.3086,-0.1968,0.695,2,2.6493,-0.3506,1,0,0,1
C,-0.2673,6.2874,-0.7741,0,-0.1912,0.6172,1,1,0,1
S,-0.3081,-0.256,0.2897,0,-0.3407,-0.1087,1,0,0,1
C,-0.3101,-0.2851,-1.0142,0,-0.3594,-0.1087,3,1,0,1
S,-0.3104,-0.378,-0.9978,3,0.1452,-0.3506,1,0,0,1
S,-0.3105,-0.4536,-0.355,1,-0.3781,-0.3506,1,1,0,1
S,-0.3051,1.4191,-0.4306,3,0.1452,-0.3506,1,0,0,0
S,-0.3104,-0.2164,0.7799,1,-0.3033,-0.3506,1,0,0,0
S,-0.3046,-0.1694,-0.7662,3,0.1452,-0.3506,1,0,0,1
S,-0.3104,-0.2164,0.7799,1,-0.1912,-0.3506,1,0,0,0
S,-0.2865,-0.3558,-0.052,3,0.1452,-0.3506,1,0,0,0
S,-0.3097,-0.2174,-0.9993,1,-0.2846,-0.3506,1,0,0,1
S,-0.3097,-0.2174,-0.9993,1,-0.2286,-0.3506,1,0,0,1
C,-0.3077,0.4835,-0.4067,0,-0.3594,-0.3506,1,1,0,1
S,-0.3091,0.5321,-0.8312,3,-0.322,-0.3506,1,0,0,1
S,-0.3101,-0.5608,0.168,1,-0.3781,-0.1087,1,0,0,1
S,-0.3045,0.6003,-0.7072,3,0.1452,-0.3506,1,0,0,1
N,-0.3039,0.0477,-0.7045,1,-0.3781,-0.1087,1,0,0,0
C,-0.3077,0.4835,-0.4067,0,-0.3781,-0.3506,1,0,0,1
S,-0.3044,0.3636,-0.3827,3,-0.322,-0.3506,1,0,0,1
S,-0.3074,0.8871,0.2008,1,-0.2286,-0.3506,1,0,0,1
S,1.9406,-0.2697,3.0049,0,-0.2846,0.6172,1,0,1,1
S,1.9406,-0.2697,3.0049,0,-0.3033,0.8592,1,0,1,1
C,-0.3073,-0.5413,-0.4728,3,0.3881,-0.3506,1,1,0,1
S,-0.3085,0.502,-0.5399,2,-0.322,0.1333,1,0,0,1
S,1.9406,-0.2697,3.0049,0,-0.2286,0.8592,1,0,1,1
S,-0.3078,-0.0986,1.9812,1,1.1917,-0.3506,1,0,0,0
S,-0.2985,-0.4858,-1.0725,2,-0.3407,-0.3506,1,1,0,1
S,-0.3101,-0.5608,0.168,0,-0.3781,-0.3506,2,0,0,1
N,-0.308,-0.4034,-0.3686,1,-0.3594,-0.3506,1,1,0,0
S,-0.2978,0.6753,1.1612,1,0.4629,-0.3506,1,0,0,1
